bin,count
0,1232
1,729
2,808
3,958
4,1183
5,1091
6,737
7,266
8,82
9,4
.,2391
total_canes,319
number_of_shoots,5858
cane_id,total,2,3,4,5,6,7,8,#shoots
1473,121,47,65,79,90,97,103,109,18
1474,111,39,56,70,80,87,93,99,15
1481,236,63,91,115,138,160,179,198,13
1482,223,62,90,116,138,158,175,191,16
1483,215,59,87,114,135,154,170,185,15
1484,194,61,89,113,132,146,158,170,21
1491,173,52,75,95,112,127,140,151,16
1492,178,58,79,100,116,130,142,154,19
1493,165,51,72,89,104,117,129,141,15
1494,163,53,74,91,106,118,130,141,18
1501,223,67,95,121,147,171,186,199,24
1502,188,60,85,108,124,138,151,164,19
1503,151,47,68,86,101,111,121,131,15
1504,112,40,57,71,82,88,94,100,14
1511,246,80,116,148,175,194,207,220,30
1512,203,72,101,128,147,162,173,183,27
1513,133,47,68,88,103,109,115,121,18
1514,221,63,92,120,140,157,173,189,16
1521,187,64,92,116,134,146,157,167,25
1522,166,60,86,108,126,138,145,152,24
1523,131,56,77,89,98,106,113,119,26
1524,82,32,44,56,66,73,76,78,15
1531,71,23,32,39,45,51,56,61,8
1532,126,55,77,90,96,102,108,114,24
1533,172,58,84,106,122,132,142,152,20
1534,148,51,71,88,103,112,121,130,18
1541,154,55,79,97,109,120,129,138,21
1542,141,56,79,93,104,113,120,127,22
1543,204,64,94,119,140,156,168,180,21
1544,143,48,67,85,99,111,119,127,17
1551,164,52,78,102,119,133,143,150,19
1552,183,71,100,122,137,147,156,165,27
1553,166,60,83,102,119,130,139,148,23
1554,151,51,74,96,113,123,130,137,19
1561,98,48,66,76,82,86,89,92,22
1562,189,65,91,113,129,141,153,165,22
1563,195,69,95,117,137,150,162,173,25
1564,158,49,70,90,107,120,130,140,16
1571,149,52,76,98,117,131,137,141,23
1572,152,58,83,108,121,128,134,140,23
1573,146,49,70,87,103,115,125,132,18
1574,190,63,90,113,134,149,160,170,22
1581,178,59,85,108,126,138,148,158,20
1582,219,65,96,121,146,164,180,193,20
1583,152,47,69,89,107,121,130,138,17
1584,211,67,98,125,144,159,172,185,22
1591,192,58,83,105,122,136,150,164,16
1592,149,49,72,94,110,123,131,137,19
1593,159,54,77,95,109,119,129,139,18
1594,101,36,49,60,70,77,83,89,13
1601,184,64,92,115,133,146,156,166,25
1602,181,56,81,103,123,138,150,161,18
1603,201,68,99,120,136,149,162,175,22
1604,153,52,74,91,104,116,126,135,18
vine_id,total,2,3,4,5,6,7,8,#shoots
81,534,186,270,347,402,439,465,488,73
82,571,185,268,344,400,442,475,507,63
83,489,167,244,313,365,400,424,447,67
84,398,143,205,260,300,328,347,364,59
85,538,185,260,327,382,427,457,484,70
86,455,168,236,291,332,361,386,409,66
87,513,179,254,315,365,403,434,461,65
88,503,180,253,309,350,384,415,445,65
89,620,202,292,371,435,486,524,556,73
90,497,170,241,300,346,385,418,445,62
91,515,170,244,309,362,400,433,461,61
92,452,167,239,297,339,368,390,411,67
93,449,168,239,296,335,362,385,407,68
94,566,202,282,353,406,446,478,508,79
95,464,168,240,297,341,371,395,418,65
96,424,170,236,288,321,348,368,388,71
97,475,178,250,310,352,384,408,431,72
