bin,count
0,581
1,520
2,573
3,813
4,1056
5,1427
6,1604
7,981
8,343
9,70
.,4739
total_canes,320
number_of_shoots,7387
cane_id,total,2,3,4,5,6,7,8,#shoots
543,281,78,115,147,178,206,227,246,22
544,246,76,113,145,174,199,219,230,31
551,217,57,85,111,135,156,176,194,18
552,188,60,87,113,135,151,161,170,22
553,164,53,75,97,113,126,136,146,19
554,270,76,112,146,174,197,219,238,23
561,265,71,105,136,164,189,210,229,18
562,253,68,100,130,158,182,203,220,20
563,220,62,92,121,147,168,181,194,19
564,229,66,95,121,143,164,181,197,18
571,233,60,90,118,145,169,190,205,16
572,254,76,110,142,168,189,208,225,26
573,186,61,90,116,136,153,162,170,23
574,281,72,105,136,165,191,216,238,16
581,240,60,90,120,149,173,195,210,15
582,236,58,87,115,141,167,187,204,13
583,213,59,87,112,137,159,176,189,19
584,300,84,123,158,192,223,248,267,27
591,243,68,100,128,155,177,195,211,19
592,222,73,106,132,151,168,183,196,24
593,281,80,116,149,178,205,224,243,22
594,260,69,101,130,156,179,201,222,16
601,163,48,67,83,97,111,124,137,12
602,257,74,105,135,164,190,209,225,23
603,177,61,88,110,127,142,153,161,24
604,264,79,116,147,174,197,215,232,24
611,178,62,91,115,136,152,160,166,25
612,206,66,96,124,147,164,176,186,24
613,260,90,131,167,196,216,227,238,35
614,233,70,100,128,150,169,185,201,21
621,199,65,97,121,143,160,172,181,24
622,288,74,110,145,177,205,231,253,21
623,272,86,124,158,188,212,231,246,31
624,239,80,113,139,163,182,197,211,27
631,236,70,104,135,164,189,208,220,27
632,244,70,105,139,168,192,209,223,25
633,244,74,109,143,170,194,211,223,28
634,246,71,104,136,164,189,204,218,22
641,174,61,87,111,130,143,153,161,27
642,246,76,112,145,171,193,212,224,28
643,228,64,94,122,147,168,185,200,19
644,220,58,85,109,130,148,166,184,12
651,221,62,92,122,148,169,184,197,19
652,252,75,110,144,174,197,213,226,25
653,223,71,103,131,156,174,187,199,24
654,271,76,113,145,174,199,217,235,20
661,240,62,93,121,146,171,192,209,16
662,252,73,106,137,167,193,214,228,26
663,197,56,80,103,122,140,155,169,14
664,352,96,142,186,226,259,284,307,27
671,293,85,122,157,188,214,236,255,25
672,206,67,97,122,145,164,176,186,24
673,291,71,105,138,166,191,216,241,11
674,268,72,102,131,159,184,205,226,18
681,254,80,116,149,174,194,209,224,27
682,209,66,97,124,144,161,173,185,22
683,238,66,99,129,153,173,191,208,18
684,288,85,122,156,185,208,228,248,23
691,208,76,108,136,157,171,181,190,31
692,185,63,91,117,138,152,161,169,26
693,251,79,114,146,171,189,206,221,25
694,90,39,56,68,74,78,81,84,18
701,219,66,94,119,142,161,177,191,21
702,243,77,114,149,178,203,216,225,30
703,216,64,94,119,143,163,177,190,20
704,183,65,96,120,143,159,168,173,28
711,304,79,116,152,188,221,248,269,24
712,305,80,118,152,184,215,239,263,20
713,258,80,118,153,181,203,220,234,29
714,263,68,102,136,167,193,213,231,18
721,286,75,109,142,174,203,225,246,18
722,274,73,107,141,172,201,224,242,21
723,242,74,108,139,167,190,206,218,25
724,252,74,109,141,170,194,210,224,23
731,233,65,96,127,154,176,193,207,20
732,209,66,92,117,140,160,174,187,24
733,228,67,97,124,149,171,190,204,23
734,265,70,102,134,165,193,216,233,20
741,255,78,114,149,180,205,222,233,29
742,296,86,125,161,196,226,247,264,27
743,244,67,96,123,149,172,192,210,19
744,194,58,85,111,133,152,164,174,20
751,211,62,91,119,139,155,169,183,18
752,279,89,128,165,196,222,239,253,34
753,251,70,102,131,157,179,197,215,18
754,287,77,113,149,179,203,224,245,19
761,251,76,111,144,176,199,216,228,28
762,194,60,88,114,136,154,168,178,22
763,210,66,96,125,150,169,182,192,25
764,268,76,112,147,178,203,223,240,25
771,344,93,137,176,214,246,272,296,24
772,281,79,114,146,176,200,221,241,21
773,235,74,105,131,155,173,189,205,23
774,306,78,115,148,179,209,237,260,17
781,241,74,108,140,168,191,209,221,27
782,292,77,115,151,184,213,235,254,20
783,287,76,111,142,170,194,218,241,16
784,238,63,94,122,144,164,183,202,14
791,275,79,116,151,181,207,227,245,25
792,210,56,82,106,129,149,167,182,15
793,256,74,109,139,165,184,202,220,19
794,330,86,128,168,205,239,264,286,22
801,281,77,113,147,179,208,230,247,22
802,302,81,120,158,190,214,236,258,19
803,234,61,89,115,139,161,183,200,14
804,234,73,105,134,160,181,195,208,24
vine_id,total,2,3,4,5,6,7,8,#shoots
1,1099,330,475,610,730,831,913,980,113
2,1215,361,524,678,813,920,1004,1076,116
3,935,282,417,540,641,718,781,835,95
4,1257,344,510,665,803,923,1021,1103,98
5,1244,338,499,644,779,898,993,1078,87
6,1285,367,539,694,839,962,1060,1140,114
7,1143,347,510,657,788,896,975,1033,120
8,1250,348,515,673,818,949,1045,1123,114
9,1161,324,481,630,770,888,981,1047,108
10,1052,292,430,564,689,797,879,942,93
11,1110,320,465,600,727,834,915,983,100
12,1076,325,476,609,725,815,889,952,102
13,1024,309,450,580,696,799,867,920,105
14,1105,312,460,600,728,838,921,989,102
15,1205,318,473,621,761,884,980,1061,88
16,1091,321,472,609,737,845,925,985,111
17,1131,336,495,641,768,869,951,1015,116
18,687,244,350,439,500,546,587,621,94
19,864,274,397,512,606,672,722,771,99
20,956,293,425,550,663,749,811,863,106
21,949,272,398,517,624,717,791,848,89
22,987,282,416,543,658,753,827,885,92
23,1081,305,453,592,717,827,914,980,105
24,957,284,415,536,639,725,791,850,93
25,1163,324,477,615,741,844,932,1011,89
26,1068,311,453,586,709,813,894,962,108
27,1051,297,436,562,675,766,846,917,83
28,1059,290,426,549,661,756,834,909,73
29,976,291,423,547,657,752,817,872,97
30,937,276,394,493,577,652,724,795,73
31,1043,293,430,557,677,774,855,922,90
32,1047,288,423,552,670,777,864,935,94
33,976,279,408,531,650,757,831,884,96
34,1126,288,427,552,669,770,862,950,58
35,1126,306,451,586,714,818,908,982,83
36,1031,285,420,552,676,783,861,922,91
37,1128,308,457,596,719,829,917,992,88
38,930,277,402,520,621,700,764,820,90
39,956,266,386,501,599,680,752,820,69
40,980,285,416,535,644,740,810,868,88
41,1029,302,442,564,676,764,838,903,94
42,1115,308,458,605,734,839,924,989,94
43,1230,334,497,654,799,924,1025,1100,105
44,965,277,406,530,643,735,806,861,90
45,1136,296,438,572,696,808,903,983,74
46,1183,309,452,585,710,823,924,1015,76
47,1048,312,452,582,705,804,876,938,104
48,1090,302,442,573,692,796,884,956,87
49,1046,299,433,557,668,769,853,921,92
50,1015,297,434,564,678,776,852,911,99
51,929,271,393,507,610,695,758,815,84
52,1063,302,445,576,694,796,878,943,93
53,991,283,420,549,664,761,832,889,92
54,1034,287,423,547,663,769,856,923,92
55,839,246,359,467,557,630,692,748,82
56,967,267,392,508,612,703,775,840,75
57,954,269,395,512,614,702,776,838,81
58,989,261,387,505,619,722,806,870,74
59,1006,290,423,539,640,729,803,872,81
60,861,262,376,475,562,640,701,755,83
61,877,288,418,534,629,701,748,791,105
62,998,305,444,563,671,759,831,891,103
63,970,285,422,553,666,764,832,884,102
64,868,259,378,487,578,652,716,769,86
65,967,284,418,542,652,739,801,857,88
66,1041,287,421,547,661,763,845,913,83
67,1058,295,426,548,658,753,833,908,78
68,989,297,434,558,656,736,801,865,90
69,734,257,369,467,540,590,629,664,100
70,861,272,398,507,606,686,738,779,99
71,1130,307,454,593,720,832,920,997,91
72,1054,296,433,563,683,788,865,930,87
73,935,268,387,502,608,700,773,831,87
74,989,289,420,544,658,755,825,881,95
75,1028,298,434,564,671,759,829,896,89
76,923,278,407,530,640,725,789,838,100
77,1166,324,471,601,724,828,919,1002,85
78,1058,290,428,555,666,762,845,918,77
79,1071,295,435,564,680,779,860,933,81
80,1051,292,427,554,668,764,844,913,79
