coy,vortex,
,,
cane,coy,
712,",6064.13..88..61.36.6..4..6.6.8.5..2....3.3L28",
713,",4143.3..63.54..44426.6776.58.5.55.87.4516L50",
714,",8.6..7.6.67.45.6.50.6.54...5.46.8.5L42",
721,",060242.61.57.2636.5.0.56.6..8...6........L33",
722,",62.65.7..65.4.8..77.12.8.74.6..6.70064.L28",
723,",4604626.5.62537.7735..3.462.65..5..7.6L22",
724,",6737.6655.46..6362.625..46.534.5....0.L32",
731,",447.815.0647.67.5.6.5...4206.6.5..5L34",
732,",5070602606.38..5.24.25802216.16.1.16.4..L28",
733,",57.541.2.77.78.6237.38.6136.4.15.0..L57",
734,",68775676.7.7..5.6.6.2.72.101..0..4.5..L38",
741,",776..5.64024156.7.56.51.4772666.53.6.47.5L16",
742,",332.5.66.5.6.52..2766.7.8.36.66.6.75247..5.L34",
743,",5537268617..6.5.13.42..1..0....0.1.1..L26",
744,",654701.74.60503104.645.66.2.6.00.6..L13",
751,",401.4..5.44..6442.5....5.4635.14.L3",
752,",566441461374411561..5356.8.6277.6.6.2..0.4.56.2.L17",
753,",1640443.2..36.555....3.52.61.....6...L13",
754,",6414.415...00..5...5.6.51...45.64.2....05.40L3",
761,",5..10.525.575.4606.53.77.7269.6516357.65.L63",
762,",450.00.402466.77.33086.7.680547505.2.L24",
763,",4102524.61..5546.67.56085.74.7366.5.L28",
764,",486.86.757545071061.5.82.54..3.05.6..4.6.0.L23",
771,",15.15436.65......26..7.....5..6.7365.3.5..33.6.1L19",
772,",.3206421525..57.5..1.6.1..4.6.55.3....3...L4",
773,",136235250236.4.34.8.5..25....15..5.3.2.L8",
774,",37.0.2151.76.77..7..........3.4.36.3....4L12",
781,",345.6.6706747258476.48.56.77.50.35.2..2L70",
782,",1055..5...66..6..4.66.77.74...66.5.0334..L26",
783,",5.55254....03..0..0..0..3.4.4.37.1....031.2.L6",
784,",45684....5....4...04.0304...43.1..3L14",
791,",65846.646266.1748.45..5.7.48.35....3..2.L29",
792,",632.515.4.6.57.8..7.73.0..1...L29",
793,",054.4.22.56435.34..3..5..3.5.5.3..5...L9",
794,",6560.7..674.66.7.1..5....43.6.6536.6..4.00..0.1.L46",
801,",62302647.7.7..6.5.6.5.5..1..706..0.7.3046.6L30",
802,",54405.34.15....55...55....00.60..254.64.040.0...L17",
803,",023757477..0..1.7.3..42....0..5...L20",
804,",5564..66..5..6223.766615.33...45.22.4L21",
